tagName,competitionTitle
企劃競賽,2024集點子大賽
創業競賽,2024集點子大賽
創意,2024集點子大賽
競賽,2024集點子大賽
公益,2024集點子大賽
高齡服務計畫,2024集點子大賽
集點子大賽,2024集點子大賽
銀髮族關懷,2024集點子大賽
長者夢想實現,2024集點子大賽
社會刻板印象,2024集點子大賽
創意構想,2024集點子大賽
社會互助,2024集點子大賽
銀髮族獎項,2024集點子大賽
高齡友善環境,2024集點子大賽
心理韌性變化,2024集點子大賽
影片比賽,Taiwan YOU & I 綠能大未來 臺灣再生能源短影音創作競賽
政府主辦,Taiwan YOU & I 綠能大未來 臺灣再生能源短影音創作競賽
短片,Taiwan YOU & I 綠能大未來 臺灣再生能源短影音創作競賽
學生競賽,Taiwan YOU & I 綠能大未來 臺灣再生能源短影音創作競賽
社會人士競賽,Taiwan YOU & I 綠能大未來 臺灣再生能源短影音創作競賽
繪畫比賽,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
平面設計比賽,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
影片比賽,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
短片,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
平面設計,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
繪畫,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
設計,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
學生競賽,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
競賽,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
高中,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
大學,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
影片,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
創意,113 年網路成癮預防推廣活動 創意短片.平面設計徵件比賽
選秀,E.WEDDING 女神製造營
E.Wedding,E.WEDDING 女神製造營
女神製造營,E.WEDDING 女神製造營
試用獵人,E.WEDDING 女神製造營
婚紗體驗,E.WEDDING 女神製造營
攝影比賽,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
攝影,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
拍攝,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
學生,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
學生競賽,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
政府主辦,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
網路票選,｢2分鐘 翻轉司法廉潔的誤解｣ 大專校院法治廉潔教育短影音競賽
綜合設計,國際原住民族文化創意產業園區命名徵稿活動
創意寫作,國際原住民族文化創意產業園區命名徵稿活動
命名,國際原住民族文化創意產業園區命名徵稿活動
創意,國際原住民族文化創意產業園區命名徵稿活動
創作,國際原住民族文化創意產業園區命名徵稿活動
原住民族文化,國際原住民族文化創意產業園區命名徵稿活動
創意產業園區,國際原住民族文化創意產業園區命名徵稿活動
育成和推廣,國際原住民族文化創意產業園區命名徵稿活動
文創商品,國際原住民族文化創意產業園區命名徵稿活動
產業發想和交流,國際原住民族文化創意產業園區命名徵稿活動
文化意涵,國際原住民族文化創意產業園區命名徵稿活動
原住民族傳播,國際原住民族文化創意產業園區命名徵稿活動
影視和娛樂,國際原住民族文化創意產業園區命名徵稿活動
民眾創意发想,國際原住民族文化創意產業園區命名徵稿活動
攝影比賽,113年阮綜合醫院攝影比賽
攝影,113年阮綜合醫院攝影比賽
競賽,113年阮綜合醫院攝影比賽
攝影比賽,113年阮綜合醫院攝影比賽
自然風景,113年阮綜合醫院攝影比賽
人文風采,113年阮綜合醫院攝影比賽
病患,113年阮綜合醫院攝影比賽
院內外,113年阮綜合醫院攝影比賽
攝影愛好者,113年阮綜合醫院攝影比賽
互動交流,113年阮綜合醫院攝影比賽
醫院與社區,113年阮綜合醫院攝影比賽
評選委員會,113年阮綜合醫院攝影比賽
比賽簡章,113年阮綜合醫院攝影比賽
125,嘉新永續力獎學金申請
大學,嘉新永續力獎學金申請
大專院校＆大專以上(含研究所),嘉新永續力獎學金申請
永續,嘉新永續力獎學金申請
獎學金,嘉新永續力獎學金申請
環境危機,嘉新永續力獎學金申請
永續發展,嘉新永續力獎學金申請
